よみ	単語	品詞	コメント
あ	ₐ	アルファベット	U+2090
え	ₑ	アルファベット	U+2091
h	ₕ	アルファベット	U+2095
い	ᵢ	アルファベット	U+1D62
j	ⱼ	アルファベット	U+2C7C
k	ₖ	アルファベット	U+2096
l	ₗ	アルファベット	U+2097
m	ₘ	アルファベット	U+2098
n	ₙ	アルファベット	U+2099
お	ₒ	アルファベット	U+2092
p	ₚ	アルファベット	U+209A
r	ᵣ	アルファベット	U+1D63
s	ₛ	アルファベット	U+209B
t	ₜ	アルファベット	U+209C
う	ᵤ	アルファベット	U+1D64
v	ᵥ	アルファベット	U+1D65
x	ₓ	アルファベット	U+2093
0	₀	数	U+2080
1	₁	数	U+2081
2	₂	数	U+2082
3	₃	数	U+2083
4	₄	数	U+2084
5	₅	数	U+2085
6	₆	数	U+2086
7	₇	数	U+2087
8	₈	数	U+2088
9	₉	数	U+2089
+	₊	記号	U+208A
-	₋	記号	U+208B
=	₌	記号	U+208C
(	₍	記号	U+208D
)	₎	記号	U+208E
べーた	ᵦ	アルファベット	U+1D66
がんま	ᵧ	アルファベット	U+1D67
ろー	ᵨ	アルファベット	U+1D68
ふぁい	ᵩ	アルファベット	U+1D69
かい	ᵪ	アルファベット	U+1D6A
